PLANET,MASS,RADIUS,PERIOD,ECC,OMEGA,THZC,THZO,TEQA,TEQB,TEQC,TEQD,OHZIN,CHZIN,CHZOUT,OHZOUT
11 Com b                      , 15.464,       ,    323.2,0.238, 91.3,  0.0,  0.0,1091.8, 918.1, 856.6, 720.3,  7.683,  9.732, 17.703, 18.672
11 UMi b                      , 14.740,       ,    516.2,0.080, 90.0,  0.0,  0.0,1111.3, 934.5,1025.6, 862.5, 12.783, 16.192, 30.355, 32.018
14 And b                      ,  3.559,       ,    186.8,0.000,  0.0,  0.0,  0.0,1085.1, 912.4,1085.1, 912.4,  6.548,  8.294, 15.079, 15.904
16 Cyg B b                    ,  1.780,       ,    798.5,0.680, 90.0, 21.2, 29.2, 480.8, 404.3, 209.9, 176.5,  0.842,  1.066,  1.881,  1.984
17 Sco b                      ,  4.320,       ,    578.4,0.060, 57.0,  0.0,  0.0,1038.7, 873.4, 978.1, 822.5, 10.830, 13.717, 25.787, 27.199
18 Del b                      ,  9.207,       ,    982.8,0.024, 64.1,  0.0,  0.0, 545.7, 458.9, 532.7, 448.0,  5.142,  6.513, 11.797, 12.443
24 Boo b                      ,  0.883,       ,     30.3,0.032,180.8,  0.0,  0.0,2251.7,1893.5,2180.8,1833.8,  6.855,  8.683, 15.833, 16.699
24 Sex b                      ,  1.990,       ,    452.8,0.090,  9.2,  0.0,  0.0, 587.8, 494.2, 537.0, 451.6,  2.977,  3.771,  6.799,  7.171
24 Sex c                      ,  0.860,       ,    883.0,0.290,220.5,  0.0,  0.0, 532.7, 447.9, 395.2, 332.3,  2.977,  3.771,  6.799,  7.171
30 Ari B b                    , 13.820,       ,    335.1,0.290, 90.0,  0.0, 23.9, 514.1, 432.3, 381.4, 320.7,  1.229,  1.557,  2.712,  2.860
42 Dra b                      ,  3.880,       ,    479.1,0.380,218.7,  0.0,  0.0,1315.9,1106.5, 882.0, 741.7,  9.398, 11.905, 22.332, 23.555
47 UMa b                      ,  2.530,       ,   1078.0,0.032,334.0, 43.3,100.0, 260.3, 218.9, 252.1, 212.0,  0.937,  1.187,  2.088,  2.202
47 UMa c                      ,  0.540,       ,   2391.0,0.098,295.0,  0.0,  0.0, 206.0, 173.2, 186.7, 157.0,  0.937,  1.187,  2.088,  2.202
47 UMa d                      ,  1.640,       ,  14002.0,0.160,110.0,  0.0,  0.0, 118.9, 100.0, 101.2,  85.1,  0.937,  1.187,  2.088,  2.202
4 UMa b                       ,  7.902,       ,    270.3,0.453, 28.6,  0.0,  0.0,1555.3,1307.9, 954.3, 802.5,  8.483, 10.745, 19.949, 21.041
51 Peg b                      ,  0.472,       ,      4.2,0.013, 58.0,  0.0,  0.0,1570.9,1321.0,1550.6,1303.9,  0.879,  1.113,  1.965,  2.072
55 Cnc b                      ,  0.804,       ,     14.7,0.000,338.5,  0.0,  0.0, 855.1, 719.1, 855.1, 719.1,  0.587,  0.743,  1.337,  1.410
55 Cnc c                      ,  0.161,       ,     44.4,0.030,  2.4,  0.0,  0.0, 600.2, 504.7, 582.5, 489.8,  0.587,  0.743,  1.337,  1.410
55 Cnc d                      ,  3.120,       ,   5574.2,0.130,290.9,  0.0,  0.0, 126.5, 106.4, 111.0,  93.3,  0.587,  0.743,  1.337,  1.410
55 Cnc e                      ,  0.025,  0.167,      0.7,0.050, 86.0,  0.0,  0.0,2377.7,1999.4,2261.6,1901.8,  0.587,  0.743,  1.337,  1.410
55 Cnc f                      ,  0.150,       ,    259.9,0.080,262.4, 66.9,100.0, 342.0, 287.6, 315.6, 265.4,  0.587,  0.743,  1.337,  1.410
61 Vir b                      ,  0.016,       ,      4.2,0.120,105.0,  0.0,  0.0,1492.0,1254.7,1322.6,1112.1,  0.681,  0.862,  1.529,  1.613
61 Vir c                      ,  0.057,       ,     38.0,0.140,341.0,  0.0,  0.0, 725.1, 609.7, 629.8, 529.6,  0.681,  0.862,  1.529,  1.613
61 Vir d                      ,  0.072,       ,    123.0,0.350,314.0,  0.0,  0.0, 563.8, 474.1, 391.2, 329.0,  0.681,  0.862,  1.529,  1.613
6 Lyn b                       ,  1.881,       ,    919.9,0.042,121.0,  0.0,  0.0, 452.4, 380.5, 433.8, 364.8,  2.847,  3.606,  6.542,  6.900
70 Vir b                      ,  7.416,       ,    116.7,0.399,359.8,  0.0,  0.0, 805.5, 677.3, 528.1, 444.0,  1.305,  1.653,  2.939,  3.099
75 Cet b                      ,  2.479,       ,    696.6,0.093,202.4,  0.0,  0.0, 674.9, 567.5, 614.8, 516.9,  5.688,  7.204, 13.140, 13.860
75 Cet c                      ,  0.912,       ,   2051.6,0.023,123.0,  0.0,  0.0, 453.6, 381.4, 443.3, 372.8,  5.688,  7.204, 13.140, 13.860
7 CMa b                       ,  1.850,       ,    735.1,0.060,165.3,  0.0,  0.0, 475.0, 399.4, 447.3, 376.1,  2.683,  3.399,  6.195,  6.534
7 CMa c                       ,  0.870,       ,    996.0,0.080,233.5,  0.0,  0.0, 433.9, 364.8, 400.4, 336.7,  2.683,  3.399,  6.195,  6.534
81 Cet b                      ,  3.307,       ,   1005.6,0.037,193.3,  0.0,  0.0, 641.0, 539.0, 617.7, 519.4,  6.014,  7.618, 13.940, 14.703
8 UMi b                       ,  1.310,       ,     93.4,0.060, 90.0,  0.0,  0.0,1314.2,1105.1,1237.6,1040.7,  5.719,  7.244, 13.192, 13.915
91 Aqr b                      ,  3.200,       ,    181.4,0.027,177.3,  0.0,  0.0,1074.9, 903.9,1046.3, 879.8,  5.701,  7.221, 13.254, 13.980
AF Lep b                      ,  3.200,       ,   8030.0,0.240,210.0,  0.0,  0.0, 155.5, 130.8, 121.8, 102.4,  1.034,  1.309,  2.290,  2.416
alf Ari b                     ,  1.800,       ,    380.8,0.250, 89.2,  0.0,  0.0,1025.9, 862.7, 794.7, 668.2,  6.891,  8.729, 16.103, 16.984
alf Tau b                     ,  6.470,       ,    629.0,0.100,287.0,  0.0,  0.0,1362.1,1145.4,1232.1,1036.0, 18.000, 22.800, 43.077, 45.436
AU Mic b                      ,       ,  0.353,      8.5,0.006, 88.4,  0.0,  0.0, 717.4, 603.2, 713.2, 599.8,  0.247,  0.313,  0.602,  0.635
AU Mic c                      ,       ,  0.225,     18.9,0.003,223.3,  0.0,  0.0, 548.4, 461.1, 546.5, 459.6,  0.247,  0.313,  0.602,  0.635
AU Mic d                      ,  0.003,       ,     12.7,0.003,160.8,  0.0,  0.0, 625.0, 525.5, 623.1, 523.9,  0.247,  0.313,  0.602,  0.635
Barnard b                     ,  0.001,       ,      3.2,0.030,  3.8,  0.0,  0.0, 542.5, 456.2, 526.4, 442.7,  0.049,  0.062,  0.122,  0.129
